,% Alive on Day3,% Alive on Day5,% Alive on Day10,% Alive on Day15,% Alive on Day20,% Alive on Day25,% Alive on Day30,% Alive on Day40,% Alive on Day50,Reported mean lifespan
0,100.0,100.0,100.0,95.0,68.0,0.0,0.0,0.0,0.0,20.7
1,100.0,100.0,100.0,85.0,30.0,0.0,0.0,0.0,0.0,17.0
2,100.0,100.0,97.0,35.0,0.0,0.0,0.0,0.0,0.0,-1.0
3,100.0,100.0,100.0,85.0,23.0,0.0,0.0,0.0,0.0,-1.0
4,100.0,100.0,100.0,80.0,25.0,5.0,0.0,0.0,0.0,-1.0
5,100.0,100.0,100.0,80.0,55.0,45.0,30.0,0.0,0.0,-1.0
6,100.0,100.0,80.0,70.0,60.0,40.0,5.0,0.0,0.0,-1.0
7,100.0,100.0,100.0,83.0,50.0,8.0,3.0,0.0,0.0,20.41
8,100.0,100.0,95.0,85.0,45.0,15.0,0.0,0.0,0.0,-1.0
9,100.0,57.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
10,100.0,100.0,75.0,55.0,10.0,0.0,0.0,0.0,0.0,18.64
11,100.0,100.0,100.0,78.0,15.0,0.0,0.0,0.0,0.0,15.47
12,100.0,100.0,100.0,100.0,100.0,90.0,28.0,0.0,0.0,28.9
13,100.0,100.0,100.0,100.0,98.0,67.0,15.0,0.0,0.0,26.9
14,100.0,100.0,100.0,95.0,30.0,3.0,0.0,0.0,0.0,20.6
15,100.0,100.0,100.0,80.0,45.0,10.0,0.0,0.0,0.0,20.0
16,100.0,100.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,14.63
17,100.0,100.0,100.0,100.0,100.0,100.0,90.0,5.0,0.0,34.8
18,100.0,100.0,100.0,98.0,95.0,85.0,70.0,0.0,0.0,31.5
19,100.0,100.0,92.0,85.0,62.0,57.0,30.0,5.0,0.0,29.8
20,100.0,100.0,100.0,80.0,40.0,5.0,0.0,0.0,0.0,19.018
21,100.0,100.0,100.0,65.0,23.0,0.0,0.0,0.0,0.0,-1.0
22,100.0,100.0,100.0,60.0,20.0,10.0,0.0,0.0,0.0,-1.0
23,100.0,100.0,95.0,80.0,25.0,15.0,0.0,0.0,0.0,19.072
24,100.0,100.0,100.0,95.0,60.0,0.0,0.0,0.0,0.0,21.667
25,100.0,100.0,100.0,100.0,85.0,5.0,0.0,0.0,0.0,23.892
26,100.0,100.0,95.0,80.0,10.0,0.0,0.0,0.0,0.0,17.54
27,100.0,100.0,85.0,45.0,0.0,0.0,0.0,0.0,0.0,13.64
28,100.0,100.0,98.0,90.0,25.0,5.0,0.0,0.0,0.0,17.04
