,% Alive on Day3,% Alive on Day5,% Alive on Day10,% Alive on Day15,% Alive on Day20,% Alive on Day25,% Alive on Day30,% Alive on Day40,% Alive on Day50,Reported mean lifespan
0,100.0,100.0,100.0,98.0,50.0,10.0,0.0,0.0,0.0,21.1
1,100.0,100.0,100.0,95.0,30.0,2.0,0.0,0.0,0.0,-1.0
2,100.0,100.0,80.0,40.0,25.0,10.0,0.0,0.0,0.0,14.95
3,100.0,100.0,58.0,20.0,5.0,0.0,0.0,0.0,0.0,12.18
4,100.0,98.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0
5,93.0,92.0,89.0,70.0,50.0,10.0,3.0,0.0,0.0,-1.0
6,100.0,100.0,100.0,60.0,10.0,0.0,0.0,0.0,0.0,-1.0
7,100.0,100.0,100.0,65.0,25.0,0.0,0.0,0.0,0.0,-1.0
8,100.0,100.0,85.0,75.0,55.0,20.0,0.0,0.0,0.0,-1.0
9,100.0,100.0,95.0,80.0,40.0,10.0,0.0,0.0,0.0,-1.0
10,100.0,100.0,100.0,55.0,10.0,3.0,0.0,0.0,0.0,16.98
11,100.0,100.0,100.0,90.0,45.0,10.0,0.0,0.0,0.0,-1.0
